dataset,seed,train_frac,classifier,best_params,val_acc,train_acc,test_acc
mushroom,0,0.2,LogisticRegression,{'C': 1},0.9396467236467236,0.9402709359605911,0.9436923076923077
mushroom,0,0.2,RandomForest,"{'max_depth': None, 'n_estimators': 50}",0.9981481481481481,1.0,0.9987692307692307
mushroom,0,0.2,KNN,{'n_neighbors': 3},0.9821348528015195,0.9963054187192119,0.9910769230769231
mushroom,0,0.5,LogisticRegression,{'C': 1},0.941901611134338,0.9419005416051206,0.9441161989167898
mushroom,0,0.5,RandomForest,"{'max_depth': None, 'n_estimators': 50}",1.0,1.0,1.0
mushroom,0,0.5,KNN,{'n_neighbors': 3},0.9977844630663055,0.9987690792712949,0.9970457902511078
mushroom,0,0.8,LogisticRegression,{'C': 1},0.9483004678154794,0.9486074780735497,0.940923076923077
mushroom,0,0.8,RandomForest,"{'max_depth': None, 'n_estimators': 50}",1.0,1.0,1.0
mushroom,0,0.8,KNN,{'n_neighbors': 3},0.99846142002724,1.0,0.9993846153846154
mushroom,42,0.2,LogisticRegression,{'C': 1},0.9439696106362773,0.9470443349753694,0.9461538461538461
mushroom,42,0.2,RandomForest,"{'max_depth': None, 'n_estimators': 50}",0.9993846153846153,1.0,0.9987692307692307
mushroom,42,0.2,KNN,{'n_neighbors': 3},0.9846058879392213,0.9963054187192119,0.9883076923076923
mushroom,42,0.5,LogisticRegression,{'C': 1},0.9463326850017267,0.9470704086656819,0.9487936976858691
mushroom,42,0.5,RandomForest,"{'max_depth': None, 'n_estimators': 50}",1.0,1.0,1.0
mushroom,42,0.5,KNN,{'n_neighbors': 3},0.9953214088791134,0.999015263417036,0.9987690792712949
mushroom,42,0.8,LogisticRegression,{'C': 10},0.9432220050926748,0.9450684720726266,0.952
mushroom,42,0.8,RandomForest,"{'max_depth': None, 'n_estimators': 50}",1.0,1.0,1.0
mushroom,42,0.8,KNN,{'n_neighbors': 3},0.9978457985432581,0.9996922603477458,0.9987692307692307
mushroom,99,0.2,LogisticRegression,{'C': 10},0.9581329534662867,0.9568965517241379,0.9446153846153846
mushroom,99,0.2,RandomForest,"{'max_depth': None, 'n_estimators': 50}",0.9987673314339981,1.0,1.0
mushroom,99,0.2,KNN,{'n_neighbors': 3},0.9833713200379867,0.9963054187192119,0.9907692307692307
mushroom,99,0.5,LogisticRegression,{'C': 1},0.947809911596653,0.9510093549975381,0.9453471196454948
mushroom,99,0.5,RandomForest,"{'max_depth': None, 'n_estimators': 50}",1.0,1.0,1.0
mushroom,99,0.5,KNN,{'n_neighbors': 3},0.9963069335126848,0.9997538158542589,0.9987690792712949
mushroom,99,0.8,LogisticRegression,{'C': 1},0.9486083969917688,0.9498384366825665,0.940923076923077
mushroom,99,0.8,RandomForest,"{'max_depth': None, 'n_estimators': 50}",1.0,1.0,1.0
mushroom,99,0.8,KNN,{'n_neighbors': 3},0.998768638597738,1.0,0.9993846153846154
bankrupt,0,0.2,LogisticRegression,{'C': 0.01},0.9559954751131222,0.962582538517975,0.9629765395894428
bankrupt,0,0.2,RandomForest,"{'max_depth': 10, 'n_estimators': 50}",0.9713935574229691,1.0,0.969024926686217
bankrupt,0,0.2,KNN,{'n_neighbors': 3},0.9684523809523811,0.9699192956713133,0.9660923753665689
bankrupt,0,0.5,LogisticRegression,{'C': 0.01},0.9633327735217746,0.9650924024640657,0.964516129032258
